Script,Type,Message,Item
extract-scrapings, INFO, Files processed, 16000
extract-scrapings, INFO, Files processed, 16100
extract-scrapings, INFO, Files processed, 16200
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/TOC
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/TOC
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/access-is-denied
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/array-length-must-be-a-finite-positive-integer
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/array-length-must-be-assigned-a-finite-positive-number
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/array-or-arguments-object-expected
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/boolean-expected
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/can-t-have-break-outside-of-loop
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/can-t-have-continue-outside-of-loop
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/cannot-assign-to-a-function-result
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/cannot-assign-to-this
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/circular-reference-in-value-argument-not-supported
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/conditional-compilation-is-turned-off
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/date-object-expected
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/default-can-only-appear-once-in-a-switch-statement
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/enumerator-object-expected
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/exception-thrown-and-not-caught
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-at-end
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-at
extract-scrapings, WARNING, Request failed, https://docs.microsoft.com/visualstudio/javascript/misc/expected-catch
